序号,诉求内容
13920,     市民反映丰台区西铁营凉水河岸附近有居民钓鱼破坏生态环境      市民昵称：金牛男      微博来源：新浪微博       市民原文：丰台区西铁营，凉水河岸，钓鱼捞愈演愈烈，不仅破坏自然生态，很多人连口罩还都摘了。~~~~~北京身边的那点事儿 ~~~~~北京人捍卫北京城 ~~~~~丰台警事 ~~~~~丰台生态环境 ~~~~~丰台城管路人甲 2北京·首都医科大学体育场(北京市凉水河管理处...      市民反映问题内容：市民反映，丰台区西铁营凉水河岸，钓鱼现象愈演愈烈，破坏自然生态。希望加强管理第期，故发微博反映丰台区西铁营凉水河岸附近有居民钓鱼破坏生态环境问题。     微博回复内容：无     微博链接：https://weibo.com/1644037890/ICQ301oKg?refer_flag=1001030103_&type=comment#_rnd1586936069652     微博发布时间：4月11日 16:41      加V认证：否
13100,     市民反映怀柔区水库上游怀沙河红军庄村水体富营养化严重     市民昵称：眠眠钨     微博来源：新浪微博       市民原文：怀柔区水库上游怀沙河红军庄村#水体富养化# 严重，水面全被水葫芦等植物铺满，严重污染饮用水资源。~~~~~水润京华 L眠眠钨的微博视频 ？？？？      市民反映问题内容：市民反映，怀柔区水库上游怀沙河红军庄村水体富营养化严重，水面全被水葫芦等植物铺满，污染饮用水资源。故发微博反映怀柔区水库上游怀沙河红军庄村水体富营养化严重问题。     微博回复内容：无     微博链接：https://weibo.com/1193311207/JaGfhoWLO?type=comment     微博发布时间：7月11日 11:00      加V认证：否    注：经与市城市管理委了解，有关怀柔区水库上游怀沙河红军庄村水体富营养化严重的问题，建议转水务部门处理，谢谢。
13509,     市民反映枯死柳树威胁行人安全    用户名：xugen1990    留言标题：通州区滨惠南三街南侧枯死柳树威胁行人安全，盼砍伐！    门户网站市民原文：如题，通州区北苑街道，滨惠南三街上有四五棵柳树，已经枯死或即将枯死，前两场大风，一次倒一棵，已经倒掉了两棵树，12345投诉两次均无人回复，通州区林木管理处也说不是他们的事儿，那是该谁来管管呢？我用手摇一摇树皮就会脱落，树干也颤抖那样的，上面有大量甲虫洞穴，也是林木害虫聚集之处。 夏天的大风多在晚上，以后风大雨大的时候多了去，砸死了都没人知道，这怎么行！    信件编码：AH2005110096701    写信时间：2020/5/11注：此单为市政府门户网站互动交流平台简易工单，内容为网民原文。工单来源：市政府门户网站互动交流平台
5827,     市民反映清河永泰庄东路至海淀区界河段废水排放致河面出现不明泡沫     市民昵称：端木家的公子     微博来源：新浪微博       市民原文：清河永泰庄东路至海淀区界，排污口排出废水导致河面出现不明泡沫。请~~~~~北京12345 加强监督，责令相关部门对排污水质及达标检测结果进行公示。     市民反映问题内容：市民反映，“清河流域清河永泰庄东路至海淀区界，排污口排出废水导致河面出现不明泡沫”“请相关部门对排污水质及达标检测结果进行公示？？？”。故网民反映清河永泰庄东路至海淀区界河段废水排放致河面出现不明泡沫问题。     微博回复内容：无     微博链接：https://weibo.com/1479963725/LagQZoC8D?from=page_1005051479963725_profile&wvr=6&mod=weibotime&type=comment#_rnd1642039855734     微博发布时间：1月11日 15:50     加V认证：否注：烦请承办单位第一时间反馈，此情况要向市委网信办报送。
11540,     市民反映通州区市场监督管理局门前的通惠河段散发臭味     市民昵称：涅瓦河畔卖花糕      微博来源：新浪微博       市民原文：通州市场监督管理局门前的河好臭，路过千万不要摘下口罩。     市民反映问题内容：市民反映，通州区市场监督管理局前面的通惠河段散发臭味，影响市容市貌，希望有关部门核查。故发微博反映通州区市场监督管理局门前的通惠河段散发臭味问题。     微博回复内容：无     微博链接：https://weibo.com/6725390548/Jt5uy2ush?type=comment     微博发布时间：11月9日 12:22     加V认证：视频自媒体 
10100,     市民反映网民反映丰台区右安门外凉水河边步道待清理     市民昵称：2019一切从头     微博来源：新浪微博       市民原文：#创建国家卫生城市#丰台区右安门外凉水河边白色垃圾.健身公园里都是狗屎 墙上还有不文明涂鸦 有人管吗  墙上涂的 约那啥..  留一个微信号...这让懵懂的青少年看见了 加了微信呢 后果不堪设想 希望有关部门尽快清理这些白色垃圾 粪便和不文明涂鸦 ？？？？     市民反映问题内容：市民反映，丰台区右安门外凉水河边步道上（嘉祥养老康复护理附近）散落不少白色垃圾，附近公园绿化中有较多狗粪，墙上还有不文明涂鸦，希望有关部门尽快清理。故网民反映丰台区右安门外凉水河边步道待清理问题。     微博回复内容：无     微博链接：https://weibo.com/1047061427/K731wnGON?type=comment#_rnd1616480634552     微博发布时间：3月20日 12:22      加V认证：否注：经与丰台区水务局核实，反映的位置为凉水河河边步道，凉水河属市管河道，非区水务局权属。建议转派至凉水河管理处核实办理。
13718,    市民反映白云路护城河桥西侧河道内有一辆摩托车未清理    用户名：guest    留言标题：白云路护城河桥（北河岸）西侧8米处河道（排水处）有一个摩托车在河道内存环保隐患    门户网站市民原文：白云路护城河桥（北河岸）西侧8米处河道（排水处）有一个摩托车，担心摩托车电池等器件对水环境产生影响，是一个环保方面的隐患，请环保部门关注    信件编码：AH2006020030901    写信时间：2020-6-2注：此单为市政府门户网站互动交流平台简易工单，内容为网民原文。工单来源：市政府门户网站互动交流平台
14006,    市民反映温榆河边路河两侧河堤聚集人员野餐存在隐患问题    用户名：bjt_13910383549    市民原文：wendy : 情况反映具体位置为边路河南自青锦园体育公园，北至机场北线。温榆河边路河两侧道路及河堤。 1.此路段为温榆河河堤沿途路，道路两旁违章停车极易造成交通事故。 2.河堤聚集大量人群，扎帐篷，钓鱼野餐，烧烤，疫情期间成为无人管辖的聚集地，来人绝大多数不配戴口罩，极易交叉感染。 3随地大小便，扔垃圾，环境遭到严重破坏。 以上，根据北京市行政机关的职能责任，请属地政府、农业农村局、城管执法、交通等相关部门联合执法，尽快解决问题排除风险，恢复环境，保证水源地及其周边不再遭到人为破坏。 备注： 4月5日 18:00左右，第一次拨打12345举报情况，当晚19:30分左右顺义交通联系确认地点，电话80720307； 4月6日 18:00因情况没有得到解决，再次拨打12345，客服工作人员表示已联系顺义区政府。 4月7日10:00顺义水务局69403890一位姓张的工作人员联系我，下午水务局联系城管到达现场，明确环境破坏严重区域属于昌平区，顺义区相关部门在所属区域会加强管理。 在此，感谢顺义水务局工作人员及相关职能委办局，顺义处理效率很快。请昌平区相关职能尽快处理解决。    市民反映问题内容：市民反映，顺义区清锦源体育公园至机场北线温榆河边路河两侧河堤，聚集大量人群，扎帐篷、钓鱼野餐、烧烤，疫情期间成为无人管辖的聚集地，来人绝大多数不配戴口罩，极易交叉感染。随地大小便、扔垃圾，环境遭到严重破坏。4月5日18:00左右，第一次拨打12345举报情况，当晚19:30分左右顺义交通联系确认地点，电话：80720307，4月6日18:00因情况没有得到解决，再次拨打12345，客服工作人员表示已联系顺义区政府。4月7日10:00顺义水务局：69403890一位姓张的工作人员联系自己，下午水务局联系城管到达现场，明确环境破坏严重区域属于昌平区，顺义区相关部门在所属区域会加强管理。烦请昌平区分中心核实处理。故留言反映温榆河边路河两侧河堤聚集人员野餐存在隐患问题。注：经与顺义区水务局核实，市民反映的问题不在我单位管辖范围内，我局已于4月7日上午与市民联系并针对市民反应的地点前往现场核实，市民反映的地点温榆河上游路段。烦请转北运河管理处核实处理市民反映的问题。 北运河管理处不是我区管辖范围。    信件编码：AH2004070046301    写信时间：2020-4-7
14002,    市民反映永定河右堤路常年有社会车辆违反通行问题    用户名：guest    市民原文：根据北京市人民政府公告，永定河右堤路严禁社会车辆过往，目前社会车辆特别多，严重影响防汛等车辆通行。道路较窄，不适合普通社会车辆通行，希望永定河管理处及属地单位在门岗处严格查看通行证，无证车辆严禁通行。依据北京市水务局、北京市公安局（二〇〇五年第1号）文件规定，永定河右堤（含中堤）堤顶路禁止机动车通行。右堤路西侧有周口店路可以通行，可引导社会车辆绕行。    市民反映问题内容：市民反映，根据北京市人民政府公告，永定河右堤路严禁社会车辆过往，目前社会车辆特别多，严重影响防汛等车辆通行。道路较窄，不适合普通社会车辆通行。依据北京市水务局、北京市公安局（二〇〇五年第1号）文件规定，永定河右堤（含中堤）堤顶路禁止机动车通行。右堤路西侧有周口店路可以通行，可引导社会车辆绕行。希望永定河管理处及属地单位在门岗处严格查看通行证，无证车辆严禁通行。通过留言反映永定河右堤路常年有社会车辆违反通行问题。    信件编码：AH2004130022401    写信时间：2020-4-13
2393,"  管庄乡发现辖区内朝阳路与管庄路丁字路口向南100米处，管庄路主路有一处井盖冒污水，导致污水流到朝阳路主路，管庄乡发现该问题后，多次协调北排集团进行临时抽排，但该问题长期存在并越发频繁，现约10天左右即需要临时抽排一次。
  为排查原因，今年9月下旬管庄乡约请区管委、朝阳区水务局、北排集团相关负责同志召开现场会，沿管庄路向北，逐个打开井盖溯源污水上游至京客隆管庄店停车场内，发现有污水正在往下游排放。经与京客隆管庄店相关负责人了解，得知该店并没有办理排污许可证。建议：一、协调相关部门接驳市政污水管线 二、填塞目前污水管道，责令在有市政污水管地点倾倒污水
  
  "
